File,True_Label,Predicted,Avg_F0,Std_F0,Avg_ZCR,Avg_Energy,Correct
G13_D06_C_14_Furious_C3.wav,Child,Child,351.82,69.37,1434.58,28.782985,True
G13_D06_C_14_Happy_C2.wav,Child,Child,337.71,55.66,1564.01,49.513113,True
G13_D06_C_14_Sad_C4.wav,Child,Child,282.71,62.87,1662.54,24.551224,True
G14_D01_F_27_Happy_C2.wav,Woman,Child,356.83,46.28,2106.41,145.302766,False
G14_D01_F_27_Neutral_C1.wav,Woman,Woman,236.62,27.92,2006.82,100.974012,True
G14_D01_F_27_Shocked_C5.wav,Woman,Child,390.37,74.53,4719.65,166.566416,False
G14_D02_F_28_Happy_C2.wav,Woman,Child,285.15,68.61,1703.23,38.478678,False
G14_D02_F_28_Neutral_C1.wav,Woman,Woman,176.03,26.4,2065.96,21.479718,True
G14_D02_F_28_Shocked_C5.wav,Woman,Woman,232.84,42.93,2463.37,49.007367,True
G14_D03_C_16_Happy_C2.wav,Child,Child,329.42,51.65,1958.89,68.09907,True
G14_D03_C_16_Neutral_C1.wav,Child,Woman,245.52,37.64,3022.44,27.899656,False
G14_D03_C_16_Shocked_C5.wav,Child,Child,312.54,48.74,5960.38,31.722517,True
G14_D04_C_16_Happy_C2.wav,Child,Woman,198.08,49.2,1769.69,40.540621,False
G14_D04_C_16_Neutral_C1.wav,Child,Male,141.88,25.97,1922.97,21.088632,False
G14_D04_C_16_Shocked_C5.wav,Child,Male,159.49,35.96,2856.02,19.022309,False
G14_D05_M_21_Furious_C3.wav,Male,Woman,168.17,41.33,2770.61,61.046509,False
G14_D05_M_21_Neutral_C1.wav,Male,Male,156.41,41.33,2544.01,45.524072,True
G14_D05_M_21_Shocked_C5.wav,Male,Woman,181.46,33.58,3104.32,36.123802,False
G14_D06_M_25_Happy_C2.wav,Male,Male,133.09,12.18,1106.16,27.489893,True
G14_D06_M_25_Neutral_C1.wav,Male,Male,104.88,11.12,1968.42,16.57415,True
G14_D06_M_25_Shocked_C5.wav,Male,Male,130.37,8.59,2267.91,50.57502,True
G15_D01_E_21_Notr_C1.wav,Male,Male,106.69,6.53,1301.06,33.447249,True
G15_D01_E_21_Ofkeli_C3.wav,Male,Male,109.43,3.73,1244.12,42.973667,True
G15_D02_C_16_Notr_C1.wav,Child,Male,133.9,11.03,877.61,16.291216,False
G15_D02_C_16_Ofkeli_C3.wav,Child,Male,147.49,11.8,891.11,11.916358,False
G15_D02_C_16_Saskin_C5.wav,Child,Woman,196.26,30.3,2362.94,13.127188,False
G15_D03_K_20_Ofkeli_C3.wav,Woman,Woman,232.88,20.45,1046.17,76.451817,True
G15_D03_K_20_Saskin_C5.wav,Woman,Woman,244.96,30.34,1463.29,136.149602,True
G15_D04_C_10_Notr_C1.wav,Child,Child,322.55,47.13,2848.4,15.840955,True
G15_D04_C_10_Ofkeli_C3.wav,Child,Child,486.81,83.94,3318.91,57.759356,True
G15_D04_C_10_Saskin_C5.wav,Child,Child,359.65,62.06,4071.32,32.169932,True
G15_D05_E_22_Notr_C1.wav,Male,Woman,170.34,33.5,1102.75,55.318815,False
G15_D05_E_22_Ofkeli_C3.wav,Male,Woman,192.49,35.13,1044.29,58.009869,False
G15_D05_E_22_Saskin_C5.wav,Male,Woman,193.58,47.85,2077.72,40.347925,False
G15_D06_K_44_Notr_C1.wav,Woman,Woman,198.78,26.34,1464.6,73.776267,True
G15_D06_K_44_Saskin_C5.wav,Woman,Child,261.42,24.91,3397.54,75.571575,False
G15_D06_K_44_Uzgun_C4.wav,Woman,Woman,194.15,20.94,1233.05,68.613375,True
G16_D01_C_07_Happy_C2.wav,Child,Child,319.14,33.21,2358.46,12.337027,True
G16_D01_C_07_Neutral_C1.wav,Child,Child,311.0,23.79,2254.68,19.993828,True
G16_D01_C_07_Shocked_C5.wav,Child,Child,368.94,41.23,4995.32,20.2345,True
G16_D02_F_21_Furious_C3.wav,Woman,Child,273.83,31.01,3908.23,59.505073,False
G16_D02_F_21_Neutral_C1.wav,Woman,Woman,224.88,18.57,2476.49,5.356715,True
G16_D02_F_21_Shocked_C5.wav,Woman,Child,278.33,33.29,4112.78,24.415821,False
G16_D03_F_19_Furious_C3.wav,Woman,Child,289.58,25.36,2011.82,86.315589,False
G16_D03_F_19_Happy_C2.wav,Woman,Child,298.25,28.61,1296.49,88.209459,False
G16_D03_F_19_Neutral_C1.wav,Woman,Woman,233.09,17.34,2396.58,8.185318,True
G16_D04_M_46_Furious_C3.wav,Male,Male,154.11,24.42,1693.35,29.5245,True
G16_D04_M_46_Neutral_C1.wav,Male,Male,125.4,18.18,1631.5,27.870215,True
G16_D04_M_46_Shocked_C5.wav,Male,Woman,188.0,48.0,2995.3,18.507384,False
G16_D05_M_17_Furious_C3.wav,Male,Woman,171.24,19.75,3828.81,23.97985,False
G16_D05_M_17_Sad_C4.wav,Male,Male,155.36,31.77,4288.66,12.908552,True
G16_D05_M_17_Shocked_C5.wav,Male,Woman,173.74,20.63,5160.58,19.798125,False
G16_D06_C_09_Furious_C3.wav,Child,Child,442.93,47.96,1804.41,48.826105,True
G16_D06_C_09_Happy_C2.wav,Child,Child,453.49,64.22,1642.11,44.282351,True
G16_D06_C_09_Neutral_C1.wav,Child,Child,378.54,62.03,2128.41,20.728171,True
G14_D01_F_27_Happy_C2.wav,Woman,Child,356.83,46.28,2106.41,145.302766,False
G14_D01_F_27_Neutral_C1.wav,Woman,Woman,236.62,27.92,2006.82,100.974012,True
G14_D01_F_27_Shocked_C5.wav,Woman,Child,390.37,74.53,4719.65,166.566416,False
G14_D02_F_28_Happy_C2.wav,Woman,Child,285.15,68.61,1703.23,38.478678,False
G14_D02_F_28_Neutral_C1.wav,Woman,Woman,176.03,26.4,2065.96,21.479718,True
G14_D02_F_28_Shocked_C5.wav,Woman,Woman,232.84,42.93,2463.37,49.007367,True
G14_D03_C_16_Happy_C2.wav,Child,Child,329.42,51.65,1958.89,68.09907,True
G14_D03_C_16_Neutral_C1.wav,Child,Woman,245.52,37.64,3022.44,27.899656,False
G14_D03_C_16_Shocked_C5.wav,Child,Child,312.54,48.74,5960.38,31.722517,True
G14_D04_C_16_Happy_C2.wav,Child,Woman,198.08,49.2,1769.69,40.540621,False
G14_D04_C_16_Neutral_C1.wav,Child,Male,141.88,25.97,1922.97,21.088632,False
G14_D04_C_16_Shocked_C5.wav,Child,Male,159.49,35.96,2856.02,19.022309,False
G14_D05_M_21_Furious_C3.wav,Male,Woman,168.17,41.33,2770.61,61.046509,False
G14_D05_M_21_Neutral_C1.wav,Male,Male,156.41,41.33,2544.01,45.524072,True
G14_D05_M_21_Shocked_C5.wav,Male,Woman,181.46,33.58,3104.32,36.123802,False
G14_D06_M_25_Happy_C2.wav,Male,Male,133.09,12.18,1106.16,27.489893,True
G14_D06_M_25_Neutral_C1.wav,Male,Male,104.88,11.12,1968.42,16.57415,True
G14_D06_M_25_Shocked_C5.wav,Male,Male,130.37,8.59,2267.91,50.57502,True
G19_D01_M_20_Neutral_C1.wav,Male,Male,142.84,17.23,2818.77,39.333388,True
G19_D01_M_20_Furious_C3.wav,Male,Woman,167.53,28.24,4162.8,132.330648,False
G19_D01_M_20_Sad_C4.wav,Male,Male,142.95,15.44,3819.98,42.482044,True
G19_D02_M_29_Neutral_C1.wav,Male,Male,127.64,11.16,2704.94,51.310976,True
G19_D02_M_29_Furious_C3.wav,Male,Male,152.77,21.55,2544.04,51.964447,True
G19_D02_M_29_Sad_C4.wav,Male,Male,117.48,14.18,3396.42,76.12659,True
G19_D03_F_21_Neutral_C1.wav,Woman,Woman,205.97,46.87,1587.91,49.870587,True
G19_D03_F_21_Furious_C3.wav,Woman,Child,264.29,49.03,1690.09,71.79774,False
G19_D03_F_21_Shocked_C5.wav,Woman,Child,380.07,77.15,2270.25,74.108884,False
G19_D04_F_18_Happy_C2.wav,Woman,Child,287.67,34.24,1024.45,86.237276,False
G19_D04_F_18_Furious_C3.wav,Woman,Child,264.58,42.31,1366.64,82.103243,False
G19_D04_F_18_Shocked_C5.wav,Woman,Child,274.16,43.17,2281.03,69.272137,False
G19_D05_C_08_Happy_C2.wav,Child,Child,455.78,51.57,4100.8,39.178682,True
G19_D05_C_08_Sad_C4.wav,Child,Child,432.26,49.13,4260.36,23.133118,True
G19_D05_C_08_Shocked_C5.wav,Child,Child,465.27,49.55,4304.72,27.627809,True
G19_D06_C_10_Happy_C2.wav,Child,Child,441.48,87.83,2836.58,77.648298,True
G19_D06_C_10_Furious_C3.wav,Child,Child,396.68,107.35,3567.77,41.810619,True
G19_D06_C_10_Shocked_C5.wav,Child,Child,451.62,77.61,3066.49,70.449459,True
